id,producto,categoria,fecha,precio,cantidad
1,Auriculares,Telefonía,2025-03-19,622.98,2
2,Cámara digital,Accesorios,2024-10-27,489.72,3
3,Monitor,Telefonía,2024-10-26,1066.02,2
4,Disco Duro Externo,Telefonía,2025-02-01,279.93,1
5,Memoria USB,Periféricos,2024-12-19,1127.08,6
6,Memoria USB,Electrónica,2024-10-05,483.0,7
7,Auriculares,Electrónica,2025-06-10,1436.33,8
8,Altavoz Bluetooth,Periféricos,2025-05-17,1185.49,5
9,Papel,Oficina,2025-01-26,1477.57,3
10,Altavoz Bluetooth,Informática,2024-08-27,733.04,5
11,Funda móvil,Telefonía,2025-07-08,386.4,6
12,Tableta,Oficina,2025-07-03,973.68,5
13,Memoria USB,Telefonía,2025-03-03,1320.66,2
14,Cable HDMI,Periféricos,2024-10-30,105.78,5
15,Cable HDMI,Telefonía,2025-03-12,1318.33,3
16,Tableta,Electrónica,2024-10-15,582.55,8
17,Ratón,Accesorios,2025-02-28,1057.46,4
18,Ratón,Accesorios,2024-10-30,1104.71,9
19,Ratón,Telefonía,2024-08-27,239.33,6
20,Funda móvil,Oficina,2024-09-26,803.77,8
21,Teclado,Informática,2025-07-13,55.81,1
22,Ratón,Accesorios,2025-03-02,1324.44,9
23,Tableta,Oficina,2024-10-20,1065.8,4
24,Auriculares,Electrónica,2024-07-26,1170.49,9
25,Auriculares,Periféricos,2024-11-21,1023.16,9
26,Webcam,Periféricos,2024-07-28,1050.47,5
27,Impresora,Electrónica,2024-11-04,1472.66,8
28,Tableta,Electrónica,2024-12-19,1303.21,8
29,Cargador,Accesorios,2024-12-31,1412.88,9
30,Altavoz Bluetooth,Accesorios,2024-11-02,633.11,9
31,Memoria USB,Accesorios,2024-09-27,51.57,3
32,Tinta,Periféricos,2024-07-24,1475.69,4
33,Router,Telefonía,2025-03-02,840.8,9
34,Smartphone,Electrónica,2024-07-24,731.16,7
35,Router,Telefonía,2024-12-31,383.84,2
36,Disco Duro Externo,Accesorios,2024-11-07,693.91,8
37,Cargador,Periféricos,2025-04-24,792.58,1
38,Smartwatch,Accesorios,2025-05-19,110.79,7
39,Monitor,Informática,2025-06-19,65.16,9
40,Funda móvil,Oficina,2024-08-10,1253.16,3
41,Altavoz Bluetooth,Informática,2025-06-23,1254.05,9
42,Auriculares,Electrónica,2025-06-13,508.84,4
43,Router,Informática,2025-01-29,1357.29,1
44,Papel,Electrónica,2025-04-22,1344.8,1
45,Webcam,Telefonía,2024-09-15,921.8,1
46,Auriculares,Telefonía,2025-02-12,1379.78,8
47,Webcam,Periféricos,2024-10-29,714.59,6
48,Smartwatch,Informática,2024-11-20,392.59,7
49,Cargador,Electrónica,2024-08-13,942.52,3
50,Impresora,Periféricos,2024-08-05,1052.86,1
51,Monitor,Accesorios,2025-05-01,1332.05,1
52,Impresora,Telefonía,2024-11-19,226.32,4
53,Auriculares,Periféricos,2025-03-29,29.08,4
54,Impresora,Informática,2025-07-02,1088.62,3
55,Papel,Periféricos,2024-10-26,994.74,1
56,Tinta,Electrónica,2024-12-05,365.53,1
57,Tableta,Telefonía,2025-01-15,492.0,5
58,Smartwatch,Oficina,2025-05-07,1251.35,5
59,Laptop,Periféricos,2025-04-15,244.17,9
60,Altavoz Bluetooth,Periféricos,2024-10-08,1029.86,2
61,Cámara digital,Electrónica,2024-10-07,1499.6,2
62,Altavoz Bluetooth,Periféricos,2024-10-15,611.89,6
63,Impresora,Telefonía,2024-10-19,1426.38,6
64,Papel,Periféricos,2024-09-05,983.01,4
65,Funda móvil,Telefonía,2024-08-25,1129.09,4
66,Memoria USB,Telefonía,2024-09-18,319.01,4
67,Laptop,Electrónica,2024-08-25,632.27,6
68,Monitor,Accesorios,2025-04-21,246.32,4
69,Funda móvil,Periféricos,2024-08-10,171.68,4
70,Funda móvil,Informática,2024-10-08,332.38,7
71,Ratón,Telefonía,2025-04-28,477.6,7
72,Smartphone,Telefonía,2025-03-02,240.34,2
73,Disco Duro Externo,Informática,2025-05-19,923.56,6
74,Tableta,Informática,2025-07-13,770.35,2
75,Auriculares,Oficina,2024-07-30,1182.44,2
76,Auriculares,Accesorios,2024-12-07,1176.0,7
77,Cargador,Informática,2024-07-25,782.85,4
78,Smartphone,Oficina,2025-05-01,983.73,2
79,Auriculares,Oficina,2025-03-02,1136.78,7
80,Router,Informática,2024-08-23,857.26,3
81,Tableta,Electrónica,2025-02-28,346.51,6
82,Monitor,Oficina,2024-11-04,86.54,3
83,Webcam,Accesorios,2025-05-19,1296.88,2
84,Monitor,Informática,2024-11-23,151.94,9
85,Tinta,Oficina,2024-12-02,720.64,9
86,Smartphone,Telefonía,2025-01-03,382.91,3
87,Impresora,Accesorios,2025-01-05,676.17,4
88,Smartphone,Periféricos,2025-06-13,1086.61,1
89,Tableta,Periféricos,2024-08-14,446.14,4
90,Smartwatch,Telefonía,2024-08-31,830.65,8
91,Tinta,Informática,2025-01-02,1070.52,3
92,Router,Oficina,2025-05-24,245.62,5
93,Monitor,Electrónica,2025-04-23,1379.54,3
94,Tinta,Periféricos,2025-05-06,1152.25,4
95,Cámara digital,Telefonía,2025-02-01,1465.79,3
96,Impresora,Oficina,2025-06-28,1053.57,9
97,Ratón,Oficina,2025-06-26,1455.56,4
98,Disco Duro Externo,Accesorios,2024-10-20,639.52,7
99,Cámara digital,Accesorios,2025-06-28,979.02,6
100,Disco Duro Externo,Periféricos,2025-03-07,216.98,9
